time,exit indicator
1560840360,270.134674
1560842160,269.701660
1560843960,269.290314
1560845760,268.949677
1560847560,268.744324
1560849360,268.614502
1560851160,268.489655
1560852960,268.435822
1560854760,268.401337
1560856560,268.317505
1560858360,268.162323
1560860160,267.932831
1560861960,267.736328
1560863760,267.701813
1560865560,267.731323
1560867360,267.745819
1560869160,267.740326
1560870960,267.776001
1560872760,267.755157
1560874560,267.656342
1560876360,267.450317
1560878160,267.164673
1560879960,266.832153
1560881760,266.522827
1560883560,266.261169
1560885360,266.067841
1560887160,265.953003
1560888960,265.827179
1560890760,265.626343
1560892560,265.335510
1560894360,265.010834
1560896160,264.690674
1560897960,264.422821
1560899760,264.217987
1560901560,264.014008
1560903360,263.928009
1560905160,263.894348
1560906960,263.968323
1560908760,264.054840
1560910560,264.135681
1560912360,264.172668
1560914160,264.232513
1560915960,264.348663
1560917760,264.483673
1560919560,264.710175
1560921360,265.016510
1560923160,265.381500
1560924960,265.745850
1560926760,266.090332
1560928560,266.387848
1560930360,266.641846
1560932160,266.966156
1560933960,267.221832
1560935760,267.385010
1560937560,267.520660
1560939360,267.647491
1560941160,267.753845
1560942960,267.837677
1560944760,267.921661
1560946560,267.984009
1560948360,267.976837
1560950160,267.907837
1560951960,267.835510
1560953760,267.731506
1560955560,267.600342
1560957360,267.458344
1560959160,267.268158
1560960960,267.091675
1560962760,266.980011
1560964560,266.936829
1560966360,266.904327
1560968160,266.864166
1560969960,266.820496
1560971760,266.768982
1560973560,266.687653
1560975360,266.651825
1560977160,266.687164
1560978960,266.700653
1560980760,266.719330
1560982560,266.843170
1560984360,267.018158
1560986160,267.178162
1560987960,267.312988
1560989760,267.415314
1560991560,267.488159
1560993360,267.550659
1560995160,267.609497
1560996960,267.710327
1560998760,267.856995
1561000560,268.058838
1561002360,268.271820
1561004160,268.458832
1561005960,268.605164
1561007760,268.761322
1561009560,268.842987
1561011360,268.861847
1561013160,268.871490
1561014960,268.883667
1561016760,268.895325
1561018560,268.864655
1561020360,268.800171
1561022160,268.702850
1561023960,268.613007
1561025760,268.480347
1561027560,268.280518
1561029360,268.060181
1561031160,267.869995
1561032960,267.733490
1561034760,267.590332
1561036560,267.495819
1561038360,267.430511
1561040160,267.367340
1561041960,267.316833
1561043760,267.292175
1561045560,267.304657
1561047360,267.414825
1561049160,267.533997
1561050960,267.600983
1561052760,267.656830
1561054560,267.723175
1561056360,267.800995
1561058160,267.870483
1561059960,267.921509
1561061760,268.001007
1561063560,268.199493
1561065360,268.462158
1561067160,268.760651
1561068960,268.976990
1561070760,269.210327
1561072560,269.481842
1561074360,269.678986
1561076160,269.925323
1561077960,270.238312
1561079760,270.730316
1561081560,271.563660
1561083360,272.543152
1561085160,273.396332
1561086960,274.159149
1561088760,274.875824
1561090560,275.477814
1561092360,275.990326
1561094160,276.496338
1561095960,277.259674
1561097760,278.207336
1561099560,279.067322
1561101360,279.896820
1561103160,280.695984
1561104960,281.522156
1561106760,282.192322
1561108560,282.567841
1561110360,282.918823
1561112160,283.487152
1561113960,284.089844
1561115760,284.736847
1561117560,285.324341
1561119360,285.824677
1561121160,286.307831
1561122960,286.687347
1561124760,286.716339
1561126560,286.673828
1561128360,286.720337
1561130160,286.780182
1561131960,286.773834
1561133760,286.893494
1561135560,287.104340
1561137360,287.175018
1561139160,287.159851
1561140960,287.215668
1561142760,287.435822
1561144560,287.752838
1561146360,288.193512
1561148160,288.618835
1561149960,288.857666
1561151760,289.274658
1561153560,289.776825
1561155360,290.224335
1561157160,290.623169
1561158960,291.085999
1561160760,291.545990
1561162560,291.803345
1561164360,292.220825
1561166160,292.959167
1561167960,293.862183
1561169760,294.623993
1561171560,295.365997
1561173360,296.165497
1561175160,297.025513
1561176960,297.887177
1561178760,298.651184
1561180560,299.496185
1561182360,300.442657
1561184160,301.409851
1561185960,302.355499
1561187760,303.252502
1561189560,304.173004
1561191360,304.965851
1561193160,305.470490
1561194960,305.849487
1561196760,306.242676
1561198560,306.574341
1561200360,306.754333
1561202160,306.792999
1561203960,306.874664
1561205760,307.093842
1561207560,307.389343
1561209360,307.758179
1561211160,308.221161
1561212960,308.657013
1561214760,308.691498
1561216560,308.638672
1561218360,308.580841
1561220160,308.611328
1561221960,308.690826
1561223760,308.749329
1561225560,308.835999
1561227360,308.895172
1561229160,308.930847
1561230960,308.885986
1561232760,308.825989
1561234560,308.699341
1561236360,308.414001
1561238160,307.953674
1561239960,307.445007
1561241760,307.188324
1561243560,307.005005
1561245360,306.969482
1561247160,307.013489
1561248960,307.259003
1561250760,307.574341
1561252560,307.977661
1561254360,308.482483
1561256160,309.027161
1561257960,309.611816
1561259760,310.087830
1561261560,310.544006
1561263360,311.067841
1561265160,311.654510
1561266960,312.305328
1561268760,313.075012
1561270560,313.994324
1561272360,314.700165
1561274160,315.056488
1561275960,315.075836
1561277760,314.970520
1561279560,314.696686
1561281360,314.269165
1561283160,313.821838
1561284960,313.467010
1561286760,313.095337
1561288560,312.827667
1561290360,312.577820
1561292160,312.406006
1561293960,312.199341
1561295760,311.867340
1561297560,311.429504
1561299360,311.064331
1561301160,310.909515
1561302960,310.834991
1561304760,310.774658
1561306560,310.773163
1561308360,310.855835
1561310160,311.029327
1561311960,311.252655
1561313760,311.591675
1561315560,311.850830
1561317360,312.109680
1561319160,312.304169
1561320960,312.520172
1561322760,312.860992
1561324560,313.333008
1561326360,313.776154
1561328160,313.924011
1561329960,313.851166
