candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.194888
began: 2023-Apr-20 10:11:27
it: 0, temperature: 94, curr value: -36.821, best value: 136.169
it: 310, temperature: 13.947, curr value: 236.869, best value: 268.348
it: 311, temperature: 13.9404, curr value: 248.123, best value: 268.348
it: 312, temperature: 13.9338, curr value: 250.739, best value: 268.348
it: 313, temperature: 13.9272, curr value: 211.624, best value: 268.348
it: 314, temperature: 13.9206, curr value: 190.431, best value: 268.348
it: 315, temperature: 13.9141, curr value: 235.467, best value: 268.348
it: 316, temperature: 13.9076, curr value: 235.467, best value: 268.348
it: 317, temperature: 13.9011, curr value: 235.467, best value: 268.348
it: 318, temperature: 13.8947, curr value: 207.18, best value: 268.348
it: 319, temperature: 13.8882, curr value: 195.467, best value: 268.348
it: 320, temperature: 13.8818, curr value: 195.467, best value: 268.348
it: 321, temperature: 13.8755, curr value: 227.159, best value: 268.348
it: 322, temperature: 13.8691, curr value: 216.48, best value: 268.348
it: 323, temperature: 13.8628, curr value: 216.48, best value: 268.348
it: 324, temperature: 13.8565, curr value: 214.786, best value: 268.348
it: 325, temperature: 13.8502, curr value: 248.977, best value: 268.348
it: 326, temperature: 13.844, curr value: 234.493, best value: 268.348
it: 327, temperature: 13.8377, curr value: 234.493, best value: 268.348
it: 328, temperature: 13.8315, curr value: 217.427, best value: 268.348
it: 329, temperature: 13.8254, curr value: 223.722, best value: 268.348
it: 330, temperature: 13.8192, curr value: 197.918, best value: 268.348
it: 331, temperature: 13.8131, curr value: 227.322, best value: 268.348
it: 332, temperature: 13.807, curr value: 227.036, best value: 268.348
it: 333, temperature: 13.8009, curr value: 216, best value: 268.348
it: 334, temperature: 13.7949, curr value: 216, best value: 268.348
it: 335, temperature: 13.7888, curr value: 192.798, best value: 268.348
it: 336, temperature: 13.7828, curr value: 214.791, best value: 268.348
it: 337, temperature: 13.7768, curr value: 214.791, best value: 268.348
it: 338, temperature: 13.7709, curr value: 214.791, best value: 268.348
it: 339, temperature: 13.7649, curr value: 188.823, best value: 268.348
it: 340, temperature: 13.759, curr value: 201.408, best value: 268.348
it: 341, temperature: 13.7531, curr value: 232.708, best value: 268.348
it: 342, temperature: 13.7473, curr value: 232.708, best value: 268.348
it: 343, temperature: 13.7414, curr value: 232.708, best value: 268.348
it: 344, temperature: 13.7356, curr value: 248.9, best value: 268.348
it: 345, temperature: 13.7298, curr value: 248.9, best value: 268.348
it: 346, temperature: 13.724, curr value: 248.9, best value: 268.348
it: 347, temperature: 13.7182, curr value: 224.619, best value: 268.348
it: 348, temperature: 13.7125, curr value: 225.136, best value: 268.348
it: 349, temperature: 13.7068, curr value: 244.075, best value: 268.348
it: 350, temperature: 13.7011, curr value: 250.487, best value: 268.348
it: 351, temperature: 13.6954, curr value: 233.924, best value: 268.348
it: 352, temperature: 13.6897, curr value: 233.924, best value: 268.348
it: 353, temperature: 13.6841, curr value: 234.127, best value: 268.348
it: 354, temperature: 13.6785, curr value: 215.752, best value: 268.348
it: 355, temperature: 13.6729, curr value: 215.752, best value: 268.348
it: 356, temperature: 13.6673, curr value: 241.667, best value: 268.348
it: 357, temperature: 13.6617, curr value: 233.56, best value: 268.348
it: 358, temperature: 13.6562, curr value: 224.534, best value: 268.348
it: 359, temperature: 13.6507, curr value: 221.418, best value: 268.348
