candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.430015
began: 2023-Apr-20 08:09:05
it: 241, temperature: 15.4108, curr value: 46.8382, best value: 124.53
it: 242, temperature: 15.4011, curr value: 26.4614, best value: 124.53
it: 243, temperature: 15.3913, curr value: 47.9184, best value: 124.53
it: 244, temperature: 15.3816, curr value: 56.6761, best value: 124.53
it: 245, temperature: 15.372, curr value: 19.3722, best value: 124.53
it: 246, temperature: 15.3624, curr value: 26.7635, best value: 124.53
it: 247, temperature: 15.3529, curr value: 98.7539, best value: 124.53
it: 248, temperature: 15.3434, curr value: 98.7539, best value: 124.53
it: 249, temperature: 15.334, curr value: 64.3636, best value: 124.53
it: 250, temperature: 15.3246, curr value: 56.8157, best value: 124.53
it: 251, temperature: 15.3153, curr value: 64.9189, best value: 124.53
it: 252, temperature: 15.306, curr value: 50.0236, best value: 124.53
it: 253, temperature: 15.2968, curr value: 47.874, best value: 124.53
it: 254, temperature: 15.2876, curr value: 49.1733, best value: 124.53
it: 255, temperature: 15.2784, curr value: 86.0476, best value: 124.53
it: 256, temperature: 15.2693, curr value: 78.8155, best value: 124.53
it: 257, temperature: 15.2603, curr value: 68.9782, best value: 124.53
it: 258, temperature: 15.2513, curr value: 68.9782, best value: 124.53
it: 259, temperature: 15.2423, curr value: 65.0794, best value: 124.53
it: 260, temperature: 15.2334, curr value: 71.1352, best value: 124.53
it: 261, temperature: 15.2245, curr value: 54.0397, best value: 124.53
it: 262, temperature: 15.2157, curr value: 100.081, best value: 124.53
it: 263, temperature: 15.2069, curr value: 100.081, best value: 124.53
it: 264, temperature: 15.1982, curr value: 74.7567, best value: 124.53
it: 265, temperature: 15.1895, curr value: 74.7567, best value: 124.53
it: 266, temperature: 15.1808, curr value: 81.2533, best value: 124.53
it: 267, temperature: 15.1722, curr value: 93.2769, best value: 124.53
it: 268, temperature: 15.1637, curr value: 108.801, best value: 124.53
it: 269, temperature: 15.1551, curr value: 108.801, best value: 124.53
it: 270, temperature: 15.1467, curr value: 31.2379, best value: 124.53
it: 271, temperature: 15.1382, curr value: 26.8399, best value: 124.53
it: 272, temperature: 15.1298, curr value: 35.9963, best value: 124.53
it: 273, temperature: 15.1214, curr value: 39.2463, best value: 124.53
it: 274, temperature: 15.1131, curr value: 58.1715, best value: 124.53
it: 275, temperature: 15.1048, curr value: 49.8529, best value: 124.53
it: 276, temperature: 15.0966, curr value: 48.5397, best value: 124.53
it: 277, temperature: 15.0884, curr value: 23.3741, best value: 124.53
it: 278, temperature: 15.0802, curr value: 47.2666, best value: 124.53
it: 279, temperature: 15.0721, curr value: 70.5938, best value: 124.53
it: 280, temperature: 15.064, curr value: 78.7911, best value: 124.53
it: 281, temperature: 15.0559, curr value: 74.7346, best value: 124.53
it: 282, temperature: 15.0479, curr value: 85.7143, best value: 124.53
it: 283, temperature: 15.0399, curr value: 77.9923, best value: 124.53
it: 284, temperature: 15.032, curr value: 85.7143, best value: 124.53
it: 285, temperature: 15.0241, curr value: 77.564, best value: 124.53
it: 286, temperature: 15.0162, curr value: 83.6804, best value: 124.53
it: 287, temperature: 15.0083, curr value: 54.7233, best value: 124.53
it: 288, temperature: 15.0005, curr value: 65.2997, best value: 124.53
it: 289, temperature: 14.9928, curr value: 58.3087, best value: 124.53
it: 290, temperature: 14.985, curr value: 76.0095, best value: 124.53
it: 291, temperature: 14.9773, curr value: 91.2684, best value: 124.53
it: 292, temperature: 14.9697, curr value: 72.8984, best value: 124.53
it: 293, temperature: 14.962, curr value: 72.8984, best value: 124.53
it: 294, temperature: 14.9544, curr value: 81.1619, best value: 124.53
it: 295, temperature: 14.9469, curr value: 76.8691, best value: 124.53
it: 296, temperature: 14.9393, curr value: 76.2907, best value: 124.53
it: 297, temperature: 14.9319, curr value: 76.0016, best value: 124.53
it: 298, temperature: 14.9244, curr value: 74.7543, best value: 124.53
it: 299, temperature: 14.917, curr value: 85.7143, best value: 124.53
it: 300, temperature: 14.9096, curr value: 78.5298, best value: 124.53
it: 301, temperature: 14.9022, curr value: 66.1393, best value: 124.53
it: 302, temperature: 14.8948, curr value: 84.7596, best value: 124.53
it: 303, temperature: 14.8875, curr value: 85.7143, best value: 124.53
it: 304, temperature: 14.8803, curr value: 79.2418, best value: 124.53
it: 305, temperature: 14.873, curr value: 59.6715, best value: 124.53
it: 306, temperature: 14.8658, curr value: 79.2418, best value: 124.53
it: 307, temperature: 14.8586, curr value: 73.1226, best value: 124.53
it: 308, temperature: 14.8515, curr value: 65.5332, best value: 124.53
it: 309, temperature: 14.8443, curr value: 72.0432, best value: 124.53
it: 310, temperature: 14.8373, curr value: 54.1345, best value: 124.53
it: 311, temperature: 14.8302, curr value: 46.0824, best value: 124.53
it: 312, temperature: 14.8232, curr value: 58.0453, best value: 124.53
it: 313, temperature: 14.8161, curr value: 64.4558, best value: 124.53
it: 314, temperature: 14.8092, curr value: 74.0246, best value: 124.53
it: 315, temperature: 14.8022, curr value: 68.7035, best value: 124.53
it: 316, temperature: 14.7953, curr value: 66.5119, best value: 124.53
it: 317, temperature: 14.7884, curr value: 64.0863, best value: 124.53
it: 318, temperature: 14.7815, curr value: 71.0929, best value: 124.53
it: 319, temperature: 14.7747, curr value: 70.38, best value: 124.53
it: 320, temperature: 14.7679, curr value: 49.2845, best value: 124.53
it: 321, temperature: 14.7611, curr value: 65.6091, best value: 124.53
it: 322, temperature: 14.7544, curr value: 51.683, best value: 124.53
it: 323, temperature: 14.7476, curr value: 75.1184, best value: 124.53
it: 324, temperature: 14.7409, curr value: 71.765, best value: 124.53
it: 325, temperature: 14.7343, curr value: 66.6451, best value: 124.53
it: 326, temperature: 14.7276, curr value: 74.3909, best value: 124.53
it: 327, temperature: 14.721, curr value: 70.6955, best value: 124.53
it: 328, temperature: 14.7144, curr value: 91.2684, best value: 124.53
it: 329, temperature: 14.7078, curr value: 96.1498, best value: 124.53
it: 330, temperature: 14.7013, curr value: 79.1583, best value: 124.53
it: 331, temperature: 14.6948, curr value: 57.1913, best value: 124.53
it: 332, temperature: 14.6883, curr value: 61.1037, best value: 124.53
it: 333, temperature: 14.6818, curr value: 52.9857, best value: 124.53
it: 334, temperature: 14.6754, curr value: 100.353, best value: 124.53
it: 335, temperature: 14.669, curr value: 91.0469, best value: 124.53
it: 336, temperature: 14.6626, curr value: 105.836, best value: 124.53
it: 337, temperature: 14.6562, curr value: 101.299, best value: 124.53
it: 338, temperature: 14.6499, curr value: 105.708, best value: 124.53
it: 339, temperature: 14.6435, curr value: 113.057, best value: 124.53
it: 340, temperature: 14.6373, curr value: 100.473, best value: 124.53
it: 341, temperature: 14.631, curr value: 100.473, best value: 124.53
it: 342, temperature: 14.6247, curr value: 111.972, best value: 124.53
it: 343, temperature: 14.6185, curr value: 111.972, best value: 124.53
it: 344, temperature: 14.6123, curr value: 111.972, best value: 124.53
it: 345, temperature: 14.6061, curr value: 122.799, best value: 124.53
it: 346, temperature: 14.6, curr value: 109.885, best value: 124.53
it: 347, temperature: 14.5938, curr value: 84.1345, best value: 124.53
it: 348, temperature: 14.5877, curr value: 80.0676, best value: 124.53
it: 349, temperature: 14.5817, curr value: 68.8815, best value: 124.53
it: 350, temperature: 14.5756, curr value: 76.9237, best value: 124.53
it: 351, temperature: 14.5695, curr value: 31.6664, best value: 124.53
it: 352, temperature: 14.5635, curr value: 49.2646, best value: 124.53
it: 353, temperature: 14.5575, curr value: 90.2206, best value: 124.53
it: 354, temperature: 14.5516, curr value: 70.7471, best value: 124.53
it: 355, temperature: 14.5456, curr value: 126.424, best value: 126.424
it: 356, temperature: 14.5397, curr value: 120.755, best value: 126.424
it: 357, temperature: 14.5338, curr value: 119.085, best value: 126.424
it: 358, temperature: 14.5279, curr value: 113.057, best value: 126.424
it: 359, temperature: 14.522, curr value: 113.057, best value: 126.424
it: 360, temperature: 14.5162, curr value: 113.057, best value: 126.424
