time,open,high,low,close
1650369600,40687.3,41104,40662.3,40975.1
1650373200,40975.1,41472.3,40841.7,41451.5
1650376800,41451.5,41687.1,41380.5,41565.9
1650380400,41565.9,41760,41371.8,41445.9
1650384000,41445.9,41546.6,41236.6,41342.3
1650387600,41342.2,41370,41167.9,41345.6
1650391200,41345.6,41503.8,41312.3,41400.6
1650394800,41400.6,41547.7,41362,41417.2
1650398400,41417.2,41417.2,41212.9,41293.2
1650402000,41293.2,41391.2,41260,41313.1
1650405600,41313.1,41460.5,41265.9,41395.4
1650409200,41395.4,41539.9,41395.4,41493.2
1650412800,41493.2,41541.2,41250.3,41295.4
1650416400,41295.4,41385.7,41230,41351.4
1650420000,41351.4,41399,41311.7,41372.1
1650423600,41372.1,41394.8,41296,41386.1
1650427200,41386.1,41396.7,41261.6,41337.1
1650430800,41337.1,41446.3,41290,41444
1650434400,41444,41472.3,41383,41472.3
1650438000,41472.3,41631.5,41291.9,41340.1
1650441600,41340,41520,41302,41477.5
1650445200,41477.5,41720,41452.5,41540
1650448800,41540,41892.9,41448.3,41821.4
1650452400,41821.4,42199,41712.8,42090
1650456000,42090,42173.4,41943.6,42102.6
1650459600,42102.6,42110.1,41388.1,41591.6
1650463200,41591.5,41756.5,41509,41549.1
1650466800,41549.1,41560,41054.1,41261.7
1650470400,41261.7,41438.5,41037.1,41371.8
1650474000,41371.8,41452.5,41283.6,41370.2
1650477600,41370.3,41370.3,40820,40965.9
1650481200,40965.9,41269.8,40938.1,41193.9
1650484800,41193.9,41434.9,41140,41413.3
1650488400,41413.3,41645.1,41371.3,41496.4
1650492000,41496.4,41616.9,41431,41467.7
1650495600,41467.7,41483.5,41286.5,41358.2
1650499200,41358.2,41569,41320.5,41528.1
1650502800,41528.1,41785.5,41468.6,41674.5
1650506400,41674.5,41723.8,41567.4,41623.2
1650510000,41623.2,41711.7,41551.7,41693.6
1650513600,41693.6,41750,41525,41610
1650517200,41610,41699,41434.4,41462.8
1650520800,41462.8,41600,41419.2,41522.4
1650524400,41522.4,41940,41451,41855.7
1650528000,41855.7,42050.3,41741.1,41923
1650531600,41923,41971.9,41744,41803.7
1650535200,41803.7,42470,41782.7,42254.1
1650538800,42254.1,42690,42240,42440
1650542400,42440,42780,42344,42666
1650546000,42666,42976,42607.6,42693
1650549600,42693,42708.3,42415.6,42498.4
1650553200,42498.4,42568.8,42085.7,42135.3
1650556800,42135.3,42184,41814.9,41814.9
1650560400,41814.9,41927.6,41487.6,41554
1650564000,41554,41670.2,41393.7,41462.1
1650567600,41462.1,41555.2,41207.2,41218.8
1650571200,41218.8,41309.7,40541.6,40609.2
1650574800,40609.3,40846.1,40557.3,40726.5
1650578400,40726.5,40815.6,39751,40412
1650582000,40412,40561.6,40323.6,40480
1650585600,40480,40658.2,40232.6,40427.2
1650589200,40427.2,40565.2,40312.9,40501.2
1650592800,40501.2,40639,40425.3,40486.2
1650596400,40486.2,40634.5,40447.2,40502.1
1650600000,40502.1,40635,40458.1,40628.7
1650603600,40628.7,40730.2,40596.7,40669.3
1650607200,40669.3,40795.1,40625.9,40678.1
1650610800,40678.1,40788.2,40293,40709.6
1650614400,40709.6,40783.5,40352.7,40407.3
1650618000,40407.3,40476.6,40200,40298.3
1650621600,40298.3,40498,40138,40459.9
1650625200,40459.9,40600,40429.7,40585.5
1650628800,40585.5,40618.7,40362.1,40409.5
1650632400,40409.5,40640,40050,40245
1650636000,40245,40448.3,39804.7,39867
1650639600,39867,40012.7,39320,39433.6
1650643200,39433.6,39531.4,39177,39382.8
1650646800,39382.8,39536.5,39296.2,39340.6
1650650400,39340.6,39652.3,39203.5,39525.3
1650654000,39525.3,39786.6,39418.9,39502.9
1650657600,39502.9,39624.5,39401,39623.5
1650661200,39623.5,39710,39541.6,39615.2
1650664800,39615.2,39750,39433.7,39711.2
1650668400,39711.2,39835.2,39663.1,39709.2
1650672000,39709.2,39872.6,39557.2,39566.4
1650675600,39566.5,39699,39564.1,39608.8
1650679200,39608.8,39611.3,39429.3,39495.5
1650682800,39495.5,39553,39406.2,39463
1650686400,39463,39567.6,39285,39533.6
1650690000,39533.6,39627.2,39508.4,39570
1650693600,39570,39687.8,39549.2,39588.2
1650697200,39588.2,39654.2,39551.6,39601
1650700800,39601,39686.6,39535.1,39639.2
1650704400,39639.2,39654,39501.4,39520.8
1650708000,39520.8,39661.4,39520.8,39600.3
1650711600,39600.3,39684,39580,39602.9
1650715200,39602.9,39777.8,39535.2,39695.1
1650718800,39695.1,39797.4,39642.8,39703.9
1650722400,39703.9,39758.9,39645,39715.3
1650726000,39715.3,39820.6,39664.1,39792.7
1650729600,39792.7,39980,39716,39828.7
1650733200,39828.7,39832.9,39710,39815.9
1650736800,39815.9,39840,39658.1,39683.9
1650740400,39683.9,39777,39666,39755.3
1650744000,39755.3,39822.9,39748.7,39794.2
1650747600,39794.2,39948.3,39778.9,39895
1650751200,39895,39928,39786.1,39816.4
1650754800,39816.4,39820.8,39327.6,39441.6
1650758400,39441.6,39654.6,39414.2,39560.6
1650762000,39560.6,39637.9,39467.7,39476.2
1650765600,39476.2,39606.1,39420.1,39539.6
1650769200,39539.6,39828,39511.6,39776.6
1650772800,39776.6,39815.4,39656.9,39703.7
1650776400,39703.7,39721,39630,39667.2
1650780000,39667.2,39800,39649,39744.4
1650783600,39744.4,39810,39726,39751.4
1650787200,39751.4,39803.7,39714,39723.9
1650790800,39723.9,39779.3,39662.5,39750.1
1650794400,39750.1,39784.7,39642.1,39695.4
1650798000,39695.4,39720,39544.9,39609.1
1650801600,39609.1,39660,39525.5,39582.4
1650805200,39582.4,39636.1,39351.6,39579.7
1650808800,39579.7,39940,39371.5,39752.4
1650812400,39752.4,39842.6,39632.9,39656.5
1650816000,39656.5,39782.3,38929.6,39490
1650819600,39490,39531.5,39138.2,39421.2
1650823200,39421.2,39700,39408.6,39661.6
1650826800,39661.6,39807.9,39633.8,39703.7
1650830400,39703.7,39728.6,39469.3,39500
1650834000,39500,39646.3,39454.6,39633.4
1650837600,39633.4,39771.6,39530,39548.3
1650841200,39548.3,39584.9,39426,39450.1
1650844800,39450.1,39500.8,38674,38855.5
1650848400,38855.5,39154.4,38747.5,39095.8
1650852000,39095.8,39153.9,38961.6,39091.2
1650855600,39091.2,39294.8,39086.4,39253.7
1650859200,39253.7,39256.3,39055.7,39139.7
1650862800,39139.7,39230.5,38947.4,38975.2
1650866400,38975.2,39058,38590,38636.3
1650870000,38636.3,38675.7,38200,38453.9
1650873600,38453.9,38578.8,38375,38418.1
1650877200,38418.1,38636.9,38209.4,38588.2
1650880800,38588.2,38663.3,38400,38426
1650884400,38426,38947.9,38335.9,38832.3
1650888000,38832.3,39009.8,38743.9,38802.6
1650891600,38802.6,39299,38629.1,38735.6
1650895200,38735.6,39420,38578.6,39060.9
1650898800,39060.9,39390,38925,38976.8
1650902400,38976.8,39665.3,38911.6,39469.6
1650906000,39469.7,39574.4,39351.5,39394.9
1650909600,39394.9,40358.2,39297.6,39887
1650913200,39887,40384.6,39765.8,40226
1650916800,40226,40324.5,40046.3,40185.3
1650920400,40185.3,40249.9,40069.6,40227.6
1650924000,40227.6,40616,40141.9,40347
1650927600,40347,40570,40242.7,40426.1
1650931200,40426.1,40773.7,40387.6,40554.7
1650934800,40554.7,40625,40450,40475
1650938400,40475,40596.4,40374.2,40524.3
1650942000,40524.3,40640.8,40490.4,40535.3
1650945600,40535.3,40620,40488.8,40560
1650949200,40560,40690.5,40521.6,40589.6
1650952800,40589.6,40616,40435.7,40524.3
1650956400,40524.3,40656.9,40375,40584.5
1650960000,40584.5,40797.3,40444.3,40511.9
1650963600,40511.9,40534.7,40328.9,40382.3
1650967200,40382.3,40457.2,40325,40372
