time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1609966800,35188.8,33781.3,32725.6,31670,29910.5,35078.3
1609968600,35306.8,33894.5,32835.3,31776.1,30010.8,35181.5
1609970400,35418.8,34002.1,32939.5,31876.9,30106,35281.9
1609972200,35531.4,34110.1,33044.2,31978.2,30201.7,35384.1
1609974000,35627.3,34202.2,33133.4,32064.6,30283.2,35474.8
1609975800,35767.9,34337.2,33264.2,32191.1,30402.7,35600.2
1609977600,35930.2,34492.9,33415,32337.1,30540.6,35744
1609979400,36106.5,34662.3,33579.1,32495.9,30690.5,35900.8
1609981200,36247.1,34797.2,33709.8,32622.4,30810.1,36032.5
1609983000,36340.7,34887.1,33796.9,32706.6,30889.6,36129.3
1609984800,36406.7,34950.4,33858.2,32766,30945.7,36204.6
1609986600,36467.1,35008.4,33914.4,32820.4,30997,36274.6
1609988400,36593.8,35130.1,34032.3,32934.4,31104.7,36394.2
1609990200,36734.6,35265.2,34163.2,33061.1,31224.4,36525.3
1609992000,36825.1,35352.1,34247.4,33142.6,31301.3,36619.2
1609993800,36905.6,35429.4,34322.2,33215,31369.7,36704.9
1609995600,36981.1,35501.8,34392.4,33283,31433.9,36786.3
1609997400,37052.8,35570.7,34459.1,33347.5,31494.9,36864
1609999200,37056.6,35574.3,34462.6,33350.9,31498.1,36889.1
1610001000,37047.7,35565.8,34454.4,33343,31490.6,36902.1
1610002800,37060.5,35578.1,34466.3,33354.5,31501.4,36929
1610004600,37044.7,35562.9,34451.6,33340.2,31488,36932.4
1610006400,37002.5,35522.4,34412.3,33302.2,31452.1,36913.3
1610008200,37011.5,35531.1,34420.7,33310.4,31459.8,36930.7
1610010000,37027.5,35546.4,34435.6,33324.8,31473.4,36952.4
1610011800,37060.6,35578.1,34466.3,33354.5,31501.5,36986.5
1610013600,37098.7,35614.7,34501.7,33388.8,31533.9,37024.4
1610015400,37098.1,35614.2,34501.2,33388.3,31533.4,37032.7
1610017200,37105.6,35621.4,34508.3,33395.1,31539.8,37046.2
1610019000,37169.5,35682.7,34567.7,33452.6,31594.1,37102
1610020800,37278,35786.9,34668.5,33550.2,31686.3,37192.9
1610022600,37379.7,35884.5,34763.2,33641.8,31772.8,37280.7
1610024400,37498.7,35998.8,34873.8,33748.9,31873.9,37383.3
1610026200,37608.4,36104,34975.8,33847.5,31967.1,37480.8
1610028000,37721.7,36212.8,35081.1,33949.5,32063.4,37582.4
1610029800,37829.1,36315.9,35181,34046.2,32154.7,37680.9
1610031600,37906.1,36389.8,35252.7,34115.5,32220.2,37757.2
1610033400,38017.7,36497,35356.5,34216,32315.1,37860.1
1610035200,38190.4,36662.8,35517.1,34371.4,32461.9,38010.8
1610037000,38339.6,36806,35655.8,34505.7,32588.7,38146
1610038800,38503.3,36963.2,35808.1,34653,32727.8,38293.9
1610040600,38677.8,37130.7,35970.4,34810,32876.1,38452
1610042400,38780.1,37228.8,36065.4,34902,32963,38556.8
1610044200,38731.6,37182.3,36020.4,34858.4,32921.8,38546
1610046000,38702.9,37154.8,35993.7,34832.6,32897.5,38545.9
1610047800,38729.9,37180.7,36018.8,34856.9,32920.4,38585
1610049600,38733,37183.6,36021.7,34859.7,32923,38604.4
1610051400,38736.2,37186.7,36024.6,34862.5,32925.7,38621.9
1610053200,38816.7,37264,36099.5,34935,32994.2,38697
1610055000,38935.8,37378.4,36210.3,35042.3,33095.5,38802.2
1610056800,39033.3,37472,36301,35130,33178.3,38892.4
1610058600,39136.1,37570.6,36396.5,35222.5,33265.7,38987.6
1610060400,39144.3,37578.5,36404.2,35229.8,33272.6,39011.3
1610062200,39147.2,37581.3,36406.9,35232.4,33275.1,39029.2
1610064000,39194.5,37626.7,36450.9,35275.1,33315.3,39079.3
1610065800,39185.3,37617.9,36442.4,35266.8,33307.5,39085.8
