candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.619039
began: 2023-Apr-19 21:14:50
it: 305, temperature: 10.7086, curr value: 754.849, best value: 754.849
it: 306, temperature: 10.7034, curr value: 754.849, best value: 754.849
it: 307, temperature: 10.6982, curr value: 754.849, best value: 754.849
it: 308, temperature: 10.6931, curr value: 754.849, best value: 754.849
it: 309, temperature: 10.6879, curr value: 754.849, best value: 754.849
it: 310, temperature: 10.6828, curr value: 754.849, best value: 754.849
it: 311, temperature: 10.6777, curr value: 754.849, best value: 754.849
it: 312, temperature: 10.6727, curr value: 754.849, best value: 754.849
it: 313, temperature: 10.6676, curr value: 754.849, best value: 754.849
it: 314, temperature: 10.6626, curr value: 754.849, best value: 754.849
it: 315, temperature: 10.6576, curr value: 754.849, best value: 754.849
it: 316, temperature: 10.6526, curr value: 754.849, best value: 754.849
it: 317, temperature: 10.6477, curr value: 754.849, best value: 754.849
it: 318, temperature: 10.6427, curr value: 749.084, best value: 754.849
it: 319, temperature: 10.6378, curr value: 749.084, best value: 754.849
it: 320, temperature: 10.6329, curr value: 746.227, best value: 754.849
it: 321, temperature: 10.628, curr value: 746.227, best value: 754.849
it: 322, temperature: 10.6231, curr value: 751.215, best value: 754.849
it: 323, temperature: 10.6183, curr value: 749.789, best value: 754.849
it: 324, temperature: 10.6135, curr value: 749.789, best value: 754.849
it: 325, temperature: 10.6087, curr value: 746.227, best value: 754.849
it: 326, temperature: 10.6039, curr value: 746.227, best value: 754.849
it: 327, temperature: 10.5991, curr value: 746.227, best value: 754.849
it: 328, temperature: 10.5944, curr value: 746.227, best value: 754.849
it: 329, temperature: 10.5896, curr value: 746.227, best value: 754.849
it: 330, temperature: 10.5849, curr value: 730.81, best value: 754.849
it: 331, temperature: 10.5802, curr value: 730.81, best value: 754.849
it: 332, temperature: 10.5756, curr value: 703.582, best value: 754.849
it: 333, temperature: 10.5709, curr value: 703.582, best value: 754.849
it: 334, temperature: 10.5663, curr value: 703.582, best value: 754.849
it: 335, temperature: 10.5617, curr value: 754.849, best value: 754.849
it: 336, temperature: 10.5571, curr value: 754.849, best value: 754.849
it: 337, temperature: 10.5525, curr value: 741.013, best value: 754.849
it: 338, temperature: 10.5479, curr value: 741.013, best value: 754.849
it: 339, temperature: 10.5434, curr value: 741.013, best value: 754.849
it: 340, temperature: 10.5388, curr value: 741.013, best value: 754.849
it: 341, temperature: 10.5343, curr value: 749.789, best value: 754.849
it: 342, temperature: 10.5298, curr value: 749.789, best value: 754.849
