curr state net profit,temperature
3278.972168,80.810040
4845.831543,80.729231
133.391907,80.648502
0.000000,80.567855
8094.139648,80.487288
1326.412109,80.406802
3179.653076,80.326396
10736.029297,80.246071
15739.363281,80.165826
10020.775391,80.085661
6297.283203,80.005576
13807.024414,79.925572
24724.136719,79.845647
21424.716797,79.765803
1371.249268,79.686038
3852.662598,79.606353
67977.820312,79.526748
57296.972656,79.447222
67977.820312,79.367776
45628.953125,79.288409
63744.199219,79.209121
41802.039062,79.129913
70730.437500,79.050784
30399.683594,78.971735
36307.644531,78.892764
5930.813477,78.813872
13268.868164,78.735059
24015.605469,78.656325
1468.020752,78.577670
20158.562500,78.499093
24724.136719,78.420595
5109.625000,78.342176
16157.541016,78.263835
23320.876953,78.185572
10871.306641,78.107387
59665.000000,78.029281
63744.199219,77.951252
59656.707031,77.873302
31220.851562,77.795430
31204.416016,77.717635
16655.705078,77.639919
