time,sma(1),entry level 1,entry level 2,entry level 3,entry level 4,sma(1)
1578978000,8505.16,7909.8,7654.65,7229.39,6804.13,8505.16
1578981600,8499.48,7904.52,7649.53,7224.56,6799.59,8499.48
1578985200,8491.41,7897.01,7642.27,7217.7,6793.13,8491.41
1578988800,8513.55,7917.6,7662.2,7236.52,6810.84,8513.55
1578992400,8514.39,7918.38,7662.95,7237.23,6811.51,8514.39
1578996000,8514.9,7918.86,7663.41,7237.66,6811.92,8514.9
1578999600,8505.71,7910.31,7655.14,7229.86,6804.57,8505.71
1579003200,8519.9,7923.51,7667.91,7241.91,6815.92,8519.9
1579006800,8533.06,7935.74,7679.75,7253.1,6826.45,8533.06
1579010400,8543.45,7945.41,7689.11,7261.94,6834.76,8543.45
1579014000,8645.22,8040.05,7780.69,7348.43,6916.17,8645.22
1579017600,8689.62,8081.34,7820.66,7386.17,6951.69,8689.62
1579021200,8641.6,8036.69,7777.44,7345.36,6913.28,8641.6
1579024800,8725.32,8114.55,7852.79,7416.52,6980.25,8725.32
1579028400,8749.61,8137.14,7874.65,7437.17,6999.69,8749.61
1579032000,8749.11,8136.67,7874.2,7436.74,6999.29,8749.11
1579035600,8722.66,8112.07,7850.39,7414.26,6978.13,8722.66
1579039200,8712.7,8102.82,7841.43,7405.8,6970.16,8712.7
1579042800,8745.17,8133.01,7870.66,7433.4,6996.14,8745.17
1579046400,8787,8171.91,7908.3,7468.95,7029.6,8787
1579050000,8797.12,8181.33,7917.41,7477.56,7037.7,8797.12
1579053600,8766.99,8153.3,7890.29,7451.94,7013.59,8766.99
1579057200,8798.03,8182.17,7918.23,7478.33,7038.43,8798.03
1579060800,8771.64,8157.63,7894.48,7455.9,7017.32,8771.64
1579064400,8659.07,8052.93,7793.16,7360.21,6927.25,8659.07
1579068000,8610.15,8007.44,7749.14,7318.63,6888.12,8610.15
1579071600,8646.58,8041.32,7781.92,7349.59,6917.26,8646.58
1579075200,8653.63,8047.88,7788.27,7355.59,6922.91,8653.63
1579078800,8636.33,8031.78,7772.69,7340.88,6909.06,8636.33
1579082400,8703.62,8094.37,7833.26,7398.08,6962.9,8703.62
1579086000,8770.89,8156.93,7893.8,7455.25,7016.71,8770.89
1579089600,8764.95,8151.41,7888.46,7450.21,7011.96,8764.95
1579093200,8752.76,8140.07,7877.48,7439.85,7002.21,8752.76
1579096800,8833.87,8215.5,7950.48,7508.79,7067.09,8833.87
1579100400,8852.29,8232.63,7967.06,7524.45,7081.83,8852.29
1579104000,8806.05,8189.63,7925.45,7485.14,7044.84,8806.05
1579107600,8759.37,8146.22,7883.44,7445.47,7007.5,8759.37
1579111200,8775.33,8161.06,7897.8,7459.03,7020.26,8775.33
1579114800,8762.26,8148.9,7886.03,7447.92,7009.81,8762.26
1579118400,8758.86,8145.74,7882.97,7445.03,7007.09,8758.86
